subjid,K_L.x,K_S.x,K_L_sd.x,K_S_sd.x,noise_L.x,noise_S.x,rews_L.x,rews_S.x,K_L.y,K_S.y,K_L_sd.y,K_S_sd.y,noise_L.y,noise_S.y,rews_L.y,rews_S.y,K_L,K_W,K_L_sd,K_W_sd,noise_L,noise_W,rews_L,rews_W
1,-1.460646664,10.3958501,0.169759029,0.233535901,0.073006695,0.115253866,0.391842635,0.529446463,-1.662093741,10.27832314,0.115663105,0.169068443,-0.594126597,-0.715934675,0.549392475,0.630340259,-1.940495604,-2.573230799,0.116733447,0.152323083,-0.808231979,-0.886758365,0.199189105,0.126974969
2,-1.209737523,10.63187659,0.178343172,0.261627273,0.185002441,0.227249612,0.391842635,0.529446463,-2.188671456,9.285349918,0.152940718,0.211901172,0.101360559,-0.020447518,0.549392475,0.630340259,-1.411959741,-2.076327809,0.163894697,0.216641848,-0.374182334,-0.45270872,0.199189105,0.126974969
3,-5.989068256,5.638672534,1.178456883,1.275673992,-0.213137698,-0.170890527,0.391842635,0.529446463,-5.981970195,8.753519113,1.14957343,1.155952045,-0.380020658,-0.501828735,0.549392475,0.630340259,-8.201373585,-9.346023984,1.899997899,1.1927361,-1.161750722,-1.240277108,0.199189105,0.126974969
4,-1.5971229,8.868754256,0.140504564,0.198598763,-0.180571457,-0.138324286,0.391842635,0.529446463,-2.799954537,8.002810564,0.143708888,0.223913451,-0.329214245,-0.451022323,0.549392475,0.630340259,-3.149318018,-4.390482052,0.143493424,0.199571031,-0.146797177,-0.225323563,0.199189105,0.126974969
5,-1.935766602,9.011718093,0.164781524,0.227848095,0.145545182,0.187792353,0.391842635,0.529446463,-1.648922227,9.374812036,0.156845814,0.212922667,0.005331359,-0.116476718,0.549392475,0.630340259,-2.758579003,-3.485171453,0.139503929,0.209665541,-0.260746886,-0.339273272,0.199189105,0.126974969
6,-5.001331427,11.22118337,0.528374249,0.567508962,0.1750203,0.217267471,0.391842635,0.529446463,-6.079962955,8.917326805,1.147148918,1.15296339,-0.062655161,-0.184463238,0.549392475,0.630340259,-3.855577894,-5.165478442,0.184810279,0.223749469,-0.442036653,-0.520563039,0.199189105,0.126974969
7,-2.4741938,9.449084723,0.175627541,0.254987353,0.196086201,0.238333372,0.391842635,0.529446463,-0.75286693,10.5043562,0.169253179,0.230820938,0.142738645,0.020930568,0.549392475,0.630340259,-0.570928149,-2.001899528,0.179410629,0.263412932,-0.227638355,-0.30616474,0.199189105,0.126974969
8,-4.137608898,8.418731888,0.310779539,0.360238899,0.437360441,0.479607612,0.391842635,0.529446463,-6.692462291,6.689610886,1.460593182,1.480706549,-0.062718081,-0.184526158,0.549392475,0.630340259,-8.682030059,-9.80445693,1.85474841,1.221134146,-0.364719742,-0.443246128,0.199189105,0.126974969
9,-2.912003689,9.891636711,0.146238224,0.199682507,-0.431651446,-0.389404275,0.391842635,0.529446463,-4.240596968,9.342058939,0.296975774,0.323149289,-0.548165529,-0.669973606,0.549392475,0.630340259,-6.342977599,-7.69563491,1.533187112,0.959441195,0.003433329,-0.075093057,0.199189105,0.126974969
10,0.135506817,11.07444286,0.243186447,0.279288067,-0.600781189,-0.558534018,0.391842635,0.529446463,1.293046834,10.95388806,0.839687414,0.843511621,-0.206258137,-0.328066214,0.549392475,0.630340259,0.657894757,-1.509574051,0.244022235,0.315981575,-0.083767454,-0.16229384,0.199189105,0.126974969
11,-1.562224034,10.7514627,0.223882714,0.331053533,0.603382203,0.645629374,0.391842635,0.529446463,0.136687708,11.04772995,0.470619731,0.523262059,0.761734022,0.639925945,0.549392475,0.630340259,0.944376621,0.663460694,0.409680943,0.87638349,-0.047256351,-0.125782736,0.199189105,0.126974969
12,-2.139139792,8.402393951,0.162702649,0.225670864,-0.161928216,-0.119681045,0.391842635,0.529446463,-2.85148874,8.476097796,0.127512646,0.180856526,-0.581297851,-0.703105928,0.549392475,0.630340259,-4.384726729,-4.521258511,0.166718968,0.184106712,-1.604771781,-1.683298167,0.199189105,0.126974969
